NUMBER;CLAS_SIFICATION;DATE_CASE;REF;NOT_COUNTRY;SUBJET;PROD_CAT;TYPE;RISK_DECISION;ACTION_TAKEN;DISTRIBUTION_STAT;PRODUCT;HAZARDS;HAZARDS_CAT;ORIG_COUNTRY;DESTIN_COUNTRY;CONCERN_COUNTRY
91;alert notification;2024-05-02;2024.3507;Belgium;procymidone in Onion seeds from Italy;feed materials;feed;serious;Seizure;No distribution from notifying country;Onion seeds;procymidone  ;Pesticide residues;Italy;Belgium;Belgium
92;alert notification;2024-05-02;2024.3505;France;pesticides in Carob flour;compound feeds;feed;serious;Withdrawal from recipient(s);No distribution from notifying country;Carob flour;chlorpyrifos  ;Pesticide residues;Spain;France;France
"93;border rejection notification;2024-05-02;2024.3504;Germany;Salmonella Newport in Poultry meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Poultry meat preparation - Poultry breast, cut in half, salted;Salmonella Newport ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"94;border rejection notification;2024-05-02;2024.3502;Germany;Salmonella Minnesota and S. Newport in poultry meat preparation from Brazil;poultry meat and poultry meat products;food;potentially serious;Seizure;Product not (yet) placed on the market;Poultry meat preparation - Chicken breast, cut in half, salted;Salmonella Minnesota ,Salmonella Newport ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"95;border rejection notification;2024-05-02;2024.3501;Germany;Salmonella Newport in frozen chicken meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Poultry meat preparation - chicken breast, halved, salted;Salmonella Newport ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"96;alert notification;2024-05-02;2024.3491;Netherlands;Pesticide residues in diced paprika, from China (through Germany);fruits and vegetables;food;serious;Informing consignor;No distribution to other member countries;Diced paprika;carbofuran  ;Pesticide residues;China;Germany,Netherlands;Netherlands"
"97;alert notification;2024-05-01;2024.3487;Netherlands;Coagulase Staphylococcus in raw milk cheese, from France;milk and milk products;food;serious;Informing recipient(s);No distribution from notifying country;Raw milk cheese;Staphylococcus coagulase-positive ;Pathogenic micro-organisms;France;Belgium,Germany,Netherlands;Netherlands"
"98;alert notification;2024-04-30;2024.348;France;Arsenic, chromium, iron in pan from France;food contact materials;food contact material;serious;Recall from consumer;Distribution to other member countries;Frying pan;arsenic  migration,chromium  migration,iron  migration;Heavy metals;France;Belgium,Czech Republic,Denmark,Estonia,France,Germany,Greece,Hungary,Ireland,Italy,Portugal,Romania,Sweden;France"
"99;information notification for follow-up;2024-04-30;2024.3462;Belgium;unauthorised irradiation of food supplement from Belgium;dietetic foods, food supplements and fortified foods;food;not serious;Withdrawal from the market;Distribution to other member countries;Food supplement;irradiation  unauthorised;Radiation;Belgium,France;Belgium,France,Netherlands;Belgium"
100;information notification for attention;2024-04-30;2024.3461;Romania;Trans fatty acids above the maximum allowed in the product oat biscuits with fructose/ Acizi grasi trans peste limita maxima admisa in produsul biscuiti de ovaz cu fructoza;cereals and bakery products;food;potential risk;Withdrawal from the market;Distribution restricted to notifying country;Oat biscuits with fructose/ Biscuiti de ovaz cu fructoza;trans fatty acids  too high content;Composition;Ukraine;Romania;Romania
101;information notification for attention;2024-04-30;2024.3456;Italy;Migrazione di alluminio da bistecchiere con rivestimento antiaderente in PTFE origine Cina/Migration of aluminum from grill pans with non-stick PTFE coating origin China;food contact materials;food contact material;not serious;Informing authorities;Distribution restricted to notifying country;Bistecchiere in alluminio con rivestimento in PTFE;aluminium  migration;Composition;China;Italy;Italy
102;border rejection notification;2024-04-30;2024.3453;Malta; Ethylene oxide in meat masala from India;herbs and spices;food;serious;Official detention;Product not (yet) placed on the market;Meat Masala;ethylene oxide  ;Pesticide residues;India;Malta;Malta
103;information notification for attention;2024-04-30;2024.3444;France;Sheep liver;meat and meat products (other than poultry);food;potentially serious;Informing authorities;Product (presumably) no longer on the market;Sheep liver;lead  ;Heavy metals;United Kingdom;Germany;France
104;information notification for attention;2024-04-30;2024.3443;Germany;Chlorothalonil in green plums from Turkey ;fruits and vegetables;food;serious;Withdrawal from the market;Distribution restricted to notifying country;Green plums;chlorothalonil  ;Pesticide residues;Turkey;Germany;Germany
105;information notification for follow-up;2024-04-30;2024.3438;Belgium;Too high a content of T2 + HT2 in oats from France;feed materials;feed;potential risk;Detained by operator;No distribution to other member countries;Oats;T-2 toxin  ;Mycotoxins;France;Belgium;Belgium
"106;information notification for attention;2024-04-30;2024.3437;France;Detection of Listeria monocytogenes in raw milk cheese ;milk and milk products;food;serious;Withdrawal from the market;Distribution to non-member countries only;Raw milk cheese;Listeria monocytogenes ;Pathogenic micro-organisms;France;French Polynesia,New Caledonia;France"
"107;information notification for follow-up;2024-04-30;2024.3435;Finland;Salmonella Senftenberg in fish meal;feed materials;feed;potentially serious;Return to consignor;No distribution from notifying country;Fish meal;Salmonella Senftenberg ;Pathogenic micro-organisms;Denmark;Denmark,Finland;Finland"
108;information notification for attention;2024-04-30;2024.3434;Germany;Missing allergen labelling (gluten) and missing list of ingredients for noodles from Turkey;cereals and bakery products;food;serious;Withdrawal from the market;Distribution restricted to notifying country;Noodles;gluten  undeclared;Allergens;Turkey;Germany;Germany
109;information notification for follow-up;2024-04-29;2024.3432;Germany;Salmonella spp. in fishmeal from Spain;feed materials;feed;potential risk;Detained by operator;No distribution from notifying country;Fishmeal;Salmonella spp. ;Pathogenic micro-organisms;Spain;Germany;Germany
110;information notification for attention;2024-04-29;2024.3431;Spain;Ocratoxina A en uvas pasas de Estados Unidos. Ochratoxin A in raisins from United States.;fruits and vegetables;food;serious;Informing authorities;Distribution restricted to notifying country;Uvas pasas;ochratoxin A  ;Mycotoxins;United States;Spain;Spain
"111;information notification for attention;2024-04-29;2024.343;Luxembourg;Flonicamid and etoxaczole on peppers from Turkey;fruits and vegetables;food;potential risk;Withdrawal from the market;Product (presumably) no longer on the market;Bell peppers;etoxazole  ,flonicamid  ;Pesticide residues;Turkey;Belgium,France,Luxembourg;Luxembourg"
"112;information notification for attention;2024-04-29;2024.3428;Poland;fresh poultry meat from Poland - Salmonella enteritidis;poultry meat and poultry meat products;food;potential risk;Reinforced checking;Product (presumably) no longer on the market;Fresh poultry meat;Salmonella Enteritidis ;Pathogenic micro-organisms;Poland;Austria,Poland;Poland"
"113;alert notification;2024-04-29;2024.3418;Netherlands;MOAH in vanilla bean from Papua New Guinea;herbs and spices;food;serious;Return to consignor;Distribution to other member countries;Vanilla bean;mineral oil  ;Environmental pollutants;Papua New Guinea;Belgium,Netherlands;Netherlands"
114;border rejection notification;2024-04-29;2024.3415;Hungary;Tolfenpyrad in green tea from China via Ukraine;fruits and vegetables;food;serious;Product (to be) redispatched or destroyed;Product not (yet) placed on the market;Green tea;tolfenpyrad  ;Pesticide residues;China;Czech Republic;Hungary
"115;border rejection notification;2024-04-29;2024.3414;Croatia;Pesticides residues of Carbendazim and Chlorpyrifos in raisins from India;fruits and vegetables;food;serious;Destruction;Product allowed to travel to destination under customs seals;Raisins;carbendazim  ,chlorpyrifos  unauthorised substance;Pesticide residues;India;Croatia;Croatia"
116;border rejection notification;2024-04-29;2024.3401;Slovenia;Presence of Tetramethrin in Oranges from Egypt;fruits and vegetables;food;not serious;Destruction;Product not (yet) placed on the market;White oranges;tetramethrin   unauthorised substance;Pesticide residues;Egypt;Spain;Slovenia
117;border rejection notification;2024-04-26;2024.3393;Croatia;Formatanate in yellow pepperoni from Albania;fruits and vegetables;food;no risk;Destruction;Product allowed to travel to destination under customs seals;Pepperoni;formetanate  ;Pesticide residues;Albania;Croatia;Croatia
"118;alert notification;2024-04-26;2024.3388;Netherlands;Listeria monocytogenes in chocolate spread from the Netherlands;confectionery;food;serious;Informing recipient(s);Distribution to other member countries;Chocolate spread (3 variants: Dark, Hazelnut, original);Listeria monocytogenes ;Pathogenic micro-organisms;Netherlands;Germany;Netherlands"
119;border rejection notification;2024-04-26;2024.3387;Croatia;Linuron in fresh carrots;fruits and vegetables;food;serious;Destruction;Product allowed to travel to destination under customs seals;Fresh carrots;linuron  ;Pesticide residues;Egypt;Croatia;Croatia
120;information notification for attention;2024-04-26;2024.3385;France;salmonella in thyme;herbs and spices;food;serious;Withdrawal from the market;No distribution from notifying country;Thym;Salmonella  ;Pathogenic micro-organisms;Morocco;France;France
"121;alert notification;2024-04-26;2024.3379;France;pesticide in lime;fruits and vegetables;food;serious;Recall from consumer;No distribution to other member countries;Lime in bag (filet);imazalil  ;Pesticide residues;Brazil;France,Germany;France"
122;information notification for follow-up;2024-04-26;2024.3377;Croatia;Presence of a particles of plastic (Polypropylene) in the salt grinder;herbs and spices;food;not serious;Detained by operator;No distribution from notifying country;Coarse sea salt;particles plastic ;Foreign bodies;Italy;Croatia;Croatia
123;information notification for attention;2024-04-26;2024.3375;Czech Republic;Salmonella enteritidis in chilled chicken from Poland;poultry meat and poultry meat products;food;serious;No stock left;Product (presumably) no longer on the market;Kurczak tuszka swieza bez podrobow KL. A;Salmonella Enteritidis ;Pathogenic micro-organisms;Poland;Czech Republic;Czech Republic
"124;border rejection notification;2024-04-26;2024.3369;Cyprus;Unauthorized additives E200 and E210 in Cocktail Nectar from Egypt;non-alcoholic beverages;food;not serious;Official detention;Product not (yet) placed on the market;COCKTAIL Nectar;E 200 - sorbic acid  unauthorised,E 210 - benzoic acid  unauthorised;Food additives and flavourings;Egypt;Cyprus;Cyprus"
"125;alert notification;2024-04-26;2024.3361;France;listeria contamination in cheese ;milk and milk products;food;serious;Recall from consumer;Distribution to other member countries;comté cheese;Listeria  ;Pathogenic micro-organisms;France;China,France,Ireland,United States,Vietnam;France"
"126;alert notification;2024-04-26;2024.336;Austria;Staphylococci in Sucuk from Austria;meat and meat products (other than poultry);food;serious;Withdrawal from recipient(s);Distribution to other member countries;Sucuk;Staphylococcus coagulase-positive ;Pathogenic micro-organisms;Austria;Austria,Germany;Austria"
127;information notification for attention;2024-04-26;2024.3354;France;Salmonella in mussels;bivalve molluscs and products thereof;food;serious;Withdrawal from recipient(s);Product (presumably) no longer on the market;Mussels;Salmonella  ;Pathogenic micro-organisms;Spain;France;France
"128;border rejection notification;2024-04-26;2024.3353;Germany;Detection of aflatoxins in peanuts from Egypt;nuts, nut products and seeds;food;serious;Official detention;Product not (yet) placed on the market;Inshell Peanuts;aflatoxins  ;Mycotoxins;Egypt;Germany;Germany"
129;information notification for follow-up;2024-04-26;2024.3349;Belgium;Cypermethrin in Parsley seeds from Italy;feed materials;feed;not serious;Seizure;No distribution from notifying country;Parsley seeds;cypermethrin  ;Pesticide residues;Italy;Belgium;Belgium
"130;information notification for follow-up;2024-04-25;2024.3334;Latvia;Increased amount of mercury in complementary feed for cats from Thailand via Italy;pet food;feed;potential risk;Withdrawal from recipient(s);Distribution to other member countries;Complementary feed for cats;mercury  ;Heavy metals;Thailand;Austria,Belarus,Cyprus,Czech Republic,Estonia,France,Germany,Italy,Latvia,Lithuania,Malta,Netherlands,Poland,Romania,Slovakia,Spain;Latvia"
"131;information notification for attention;2024-04-25;2024.3332;Denmark;Glycidyl esters in biscuits from Philippines;prepared dishes and snacks;food;potentially serious;Recall from consumer;Product (presumably) no longer on the market;Biscuits;glycidyl esters  ;Industrial contaminants;Philippines;Austria,Belgium,Denmark,Faeroe Islands,Finland,France,Germany,Luxembourg,Netherlands,Spain,Sweden;Denmark"
